coin,date,year,month,open,high,low,close,volume,market_cap,circulating_supply
luna,15/02/2021,2021,2,5.637,6.1,4.96,5.455,17564032.0,,
luna,16/02/2021,2021,2,5.455,6.75,5.279,6.52,24070492.0,,
luna,17/02/2021,2021,2,6.52,7.48,5.81,7.272,28283778.0,,
luna,18/02/2021,2021,2,7.272,7.536,6.4,6.697,14068865.0,,
luna,19/02/2021,2021,2,6.697,6.9,6.156,6.31,10846138.0,,
luna,20/02/2021,2021,2,6.31,6.75,5.683,5.941,10080940.0,,
luna,21/02/2021,2021,2,5.941,6.367,5.799,6.121,7781189.0,,
luna,22/02/2021,2021,2,6.121,8.47,5.948,7.072,38768548.0,,
luna,23/02/2021,2021,2,7.072,7.15,5.435,6.736,28169294.0,,
luna,24/02/2021,2021,2,6.736,7.688,6.401,6.665,15613671.0,,
luna,25/02/2021,2021,2,6.6719,7.2074,5.9567,5.9567,11907962.0,,
luna,26/02/2021,2021,2,5.9895,6.2739,5.7171,5.8988,7976434.0,,
luna,27/02/2021,2021,2,5.8751,6.1087,5.858,5.9097,5579074.0,,
luna,28/02/2021,2021,2,5.8855,5.9881,5.0631,5.3498,7020024.0,,
luna,01/03/2021,2021,1,5.3751,6.7453,5.3751,6.7453,10942450.0,,
luna,02/03/2021,2021,2,6.7549,6.7549,6.3859,6.4648,7433998.0,,
luna,03/03/2021,2021,3,6.4587,7.6503,6.4587,7.2027,18032318.0,,
luna,04/03/2021,2021,4,7.1761,8.1048,7.1761,7.4973,15765542.0,,
luna,05/03/2021,2021,5,7.4666,8.6874,7.0887,8.4601,20141476.0,,
luna,06/03/2021,2021,6,8.4903,8.8427,8.2009,8.2421,12651273.0,,
luna,07/03/2021,2021,7,8.2601,8.2601,7.9377,8.2524,6184215.0,,
luna,08/03/2021,2021,8,8.2553,9.6519,8.1224,9.6519,12400728.0,,
luna,09/03/2021,2021,9,9.7195,11.6734,9.7195,11.6734,21752848.0,,
luna,10/03/2021,2021,10,11.657,11.657,11.0477,11.1071,9931185.0,,
luna,11/03/2021,2021,11,11.1537,11.279,10.5226,10.7981,9730973.0,,
luna,12/03/2021,2021,12,10.823,14.1599,10.823,14.1599,16465170.0,,
luna,13/03/2021,2021,3,14.1971,14.58,12.8554,14.58,8280806.0,,
luna,14/03/2021,2021,3,14.6092,16.3309,13.975,15.8324,12983037.0,,
luna,15/03/2021,2021,3,15.836,16.3811,14.9346,16.3811,10209137.0,,
luna,16/03/2021,2021,3,16.2994,20.1139,16.2994,19.8695,22660608.0,,
luna,17/03/2021,2021,3,19.855,19.855,17.7952,18.4919,15208544.0,,
luna,18/03/2021,2021,3,18.5285,19.0787,17.9,18.9211,7415511.0,,
luna,19/03/2021,2021,3,18.9109,21.7497,18.9109,19.8873,10898480.0,,
luna,20/03/2021,2021,3,19.7951,21.1806,19.7951,20.8301,4922820.0,,
luna,21/03/2021,2021,3,20.823,22.1177,20.823,21.914,7034767.0,,
luna,22/03/2021,2021,3,21.9375,21.9375,19.3084,19.3084,6911530.0,,
luna,23/03/2021,2021,3,19.3417,19.5639,16.9342,16.9342,7776504.0,,
luna,24/03/2021,2021,3,16.8783,18.5755,16.1936,16.5292,12671191.0,,
luna,25/03/2021,2021,3,16.4895,16.8874,16.0479,16.3673,7017135.0,,
luna,26/03/2021,2021,3,16.3653,18.8145,16.3653,18.4038,6252721.0,,
